date,home_team,away_team,home_points,away_points,home_moneyline,away_moneyline,spread_close
2010-10-26,Boston Celtics,Miami Heat,88,80,105.0,-125.0,1.0
2010-10-26,Portland Trail Blazers,Phoenix Suns,106,92,-310.0,255.0,-7.0
2010-10-26,Los Angeles Lakers,Houston Rockets,112,110,-310.0,255.0,-6.5
2010-10-27,Cleveland Cavaliers,Boston Celtics,95,87,170.0,-200.0,4.5
2010-10-27,New Jersey Nets,Detroit Pistons,101,98,-165.0,145.0,-4.0
2010-10-27,Philadelphia 76ers,Miami Heat,87,97,310.0,-380.0,8.0
2010-10-27,Toronto Raptors,New York Knicks,93,98,-114.0,103.0,-1.0
2010-10-27,Memphis Grizzlies,Atlanta Hawks,104,119,-130.0,110.0,-2.0
2010-10-27,Minnesota Timberwolves,Sacramento Kings,116,117,-155.0,135.0,-3.5
2010-10-27,New Orleans Hornets,Milwaukee Bucks,95,91,-150.0,130.0,-3.0
2010-10-27,Oklahoma City Thunder,Chicago Bulls,106,95,-270.0,230.0,-6.5
2010-10-27,Dallas Mavericks,Charlotte Bobcats,101,86,-300.0,250.0,-7.0
2010-10-27,San Antonio Spurs,Indiana Pacers,122,109,-430.0,335.0,-8.5
2010-10-27,Denver Nuggets,Utah Jazz,110,88,-155.0,135.0,-3.0
2010-10-27,Golden State Warriors,Houston Rockets,132,128,-155.0,135.0,-3.5
2010-10-27,Los Angeles Clippers,Portland Trail Blazers,88,98,120.0,-140.0,2.5
2010-10-28,Orlando Magic,Washington Wizards,112,83,-1450.0,1025.0,-13.5
2010-10-28,Utah Jazz,Phoenix Suns,94,110,-320.0,260.0,-7.5
2010-10-29,Charlotte Bobcats,Indiana Pacers,101,104,-200.0,170.0,-5.0
2010-10-29,New Jersey Nets,Sacramento Kings,106,100,-135.0,115.0,-2.0
2010-10-29,Philadelphia 76ers,Atlanta Hawks,101,104,145.0,-165.0,3.5
2010-10-29,Toronto Raptors,Cleveland Cavaliers,101,81,-170.0,150.0,-4.0
2010-10-29,Boston Celtics,New York Knicks,105,101,-500.0,400.0,-9.5
2010-10-29,Detroit Pistons,Oklahoma City Thunder,104,105,220.0,-260.0,6.0
2010-10-29,Miami Heat,Orlando Magic,96,70,-160.0,140.0,-3.5
2010-10-29,Minnesota Timberwolves,Milwaukee Bucks,96,85,165.0,-190.0,4.5
2010-10-29,New Orleans Hornets,Denver Nuggets,101,95,-130.0,110.0,-2.0
2010-10-29,Dallas Mavericks,Memphis Grizzlies,90,91,-500.0,400.0,-9.0
2010-10-29,Golden State Warriors,Los Angeles Clippers,109,91,-260.0,220.0,-6.0
2010-10-29,Phoenix Suns,Los Angeles Lakers,106,114,160.0,-180.0,4.0
2010-10-30,Atlanta Hawks,Washington Wizards,99,95,-550.0,425.0,-9.0
2010-10-30,Cleveland Cavaliers,Sacramento Kings,104,107,-135.0,115.0,-3.0
2010-10-30,New York Knicks,Portland Trail Blazers,95,100,165.0,-190.0,5.0
2010-10-30,Indiana Pacers,Philadelphia 76ers,99,86,-210.0,175.0,-5.5
2010-10-30,Chicago Bulls,Detroit Pistons,101,91,-550.0,425.0,-9.0
2010-10-30,Memphis Grizzlies,Minnesota Timberwolves,109,89,-370.0,305.0,-7.0
2010-10-30,Houston Rockets,Denver Nuggets,94,107,-230.0,190.0,-5.0
2010-10-30,Milwaukee Bucks,Charlotte Bobcats,98,88,-250.0,210.0,-5.5
2010-10-30,San Antonio Spurs,New Orleans Hornets,90,99,-450.0,350.0,-9.0
2010-10-31,New Jersey Nets,Miami Heat,78,101,400.0,-500.0,9.0
2010-10-31,Los Angeles Clippers,Dallas Mavericks,83,99,185.0,-225.0,5.5
2010-10-31,Oklahoma City Thunder,Utah Jazz,99,120,-280.0,240.0,-7.0
2010-10-31,Los Angeles Lakers,Golden State Warriors,107,83,-600.0,450.0,-9.5
2010-11-01,Chicago Bulls,Portland Trail Blazers,110,98,100.0,-110.0,0.0
2010-11-01,Sacramento Kings,Toronto Raptors,111,108,-240.0,200.0,-6.0
2010-11-01,Los Angeles Clippers,San Antonio Spurs,88,97,310.0,-380.0,8.0
2010-11-02,Cleveland Cavaliers,Atlanta Hawks,88,100,130.0,-150.0,3.0
2010-11-02,Washington Wizards,Philadelphia 76ers,116,115,-145.0,125.0,-3.0
2010-11-02,Detroit Pistons,Boston Celtics,86,109,245.0,-290.0,6.0
2010-11-02,Miami Heat,Minnesota Timberwolves,129,97,-4600.0,1850.0,-16.5
2011-03-28,New York Knicks,Orlando Magic,113,106,115.0,-135.0,2.5
2010-11-02,Milwaukee Bucks,Portland Trail Blazers,76,90,-145.0,125.0,-3.0
2010-11-02,Los Angeles Lakers,Memphis Grizzlies,124,105,-500.0,400.0,-9.0
2010-11-03,Atlanta Hawks,Detroit Pistons,94,85,-600.0,450.0,-10.0
2010-11-03,New Jersey Nets,Charlotte Bobcats,83,85,-140.0,120.0,-0.0
2010-11-03,Orlando Magic,Minnesota Timberwolves,128,86,-6500.0,3000.0,-18.0
2010-11-03,Philadelphia 76ers,Indiana Pacers,101,75,120.0,-140.0,2.5
2010-11-03,Boston Celtics,Milwaukee Bucks,105,102,-400.0,320.0,-8.0
2010-11-03,Houston Rockets,New Orleans Hornets,99,107,-220.0,180.0,-5.0
2010-11-03,Denver Nuggets,Dallas Mavericks,101,102,-175.0,155.0,-3.0
2010-11-03,Utah Jazz,Toronto Raptors,125,108,-700.0,500.0,-10.5
2010-11-03,Phoenix Suns,San Antonio Spurs,110,112,102.0,-113.0,1.0
2010-11-03,Golden State Warriors,Memphis Grizzlies,115,109,-170.0,150.0,-4.5
2010-11-03,Los Angeles Clippers,Oklahoma City Thunder,107,92,335.0,-430.0,8.5
2010-11-03,Sacramento Kings,Los Angeles Lakers,100,112,200.0,-240.0,5.0
2010-11-04,Chicago Bulls,New York Knicks,112,120,-270.0,230.0,-6.0
2010-11-04,Portland Trail Blazers,Oklahoma City Thunder,106,107,-230.0,190.0,-6.0
2010-11-05,Indiana Pacers,Milwaukee Bucks,90,94,-145.0,125.0,-3.0
2010-11-05,Orlando Magic,New Jersey Nets,105,90,-4000.0,1900.0,-16.5
2010-11-05,Philadelphia 76ers,Cleveland Cavaliers,116,123,-210.0,175.0,-5.0
2010-11-05,Detroit Pistons,Charlotte Bobcats,97,90,-108.0,-102.0,-0.0
2010-11-05,New York Knicks,Washington Wizards,112,91,-240.0,200.0,-5.5
2010-11-05,Boston Celtics,Chicago Bulls,110,105,-350.0,290.0,-7.5
2010-11-05,Minnesota Timberwolves,Atlanta Hawks,103,113,255.0,-310.0,6.5
2010-11-05,New Orleans Hornets,Miami Heat,96,93,230.0,-270.0,6.5
2010-11-05,Phoenix Suns,Memphis Grizzlies,123,118,-240.0,200.0,-6.0
2010-11-05,Denver Nuggets,Los Angeles Clippers,111,104,-750.0,550.0,-10.0
2010-11-05,Golden State Warriors,Utah Jazz,85,78,115.0,-135.0,1.5
2010-11-05,Los Angeles Lakers,Toronto Raptors,108,103,-1700.0,1125.0,-13.0
2010-11-06,Charlotte Bobcats,Orlando Magic,88,91,250.0,-300.0,6.0
2010-11-06,Washington Wizards,Cleveland Cavaliers,102,107,-180.0,160.0,-4.5
2010-11-06,Miami Heat,New Jersey Nets,101,89,-5250.0,2000.0,-17.0
2010-11-06,Milwaukee Bucks,New Orleans Hornets,81,87,-155.0,135.0,-4.0
2010-11-06,San Antonio Spurs,Houston Rockets,124,121,-270.0,230.0,-6.5
2010-11-06,Dallas Mavericks,Denver Nuggets,92,103,-270.0,230.0,-6.5
2010-11-06,Utah Jazz,Los Angeles Clippers,109,107,-900.0,650.0,-11.0
2010-11-06,Portland Trail Blazers,Toronto Raptors,97,84,-950.0,736.0,-12.0
2010-11-06,Sacramento Kings,Memphis Grizzlies,91,100,-210.0,175.0,-6.0
2010-11-07,New York Knicks,Philadelphia 76ers,96,106,-300.0,250.0,-7.0
2010-11-07,Atlanta Hawks,Phoenix Suns,114,118,-230.0,190.0,-5.5
2010-11-07,Detroit Pistons,Golden State Warriors,102,97,115.0,-135.0,2.0
2010-11-07,Houston Rockets,Minnesota Timberwolves,120,94,-420.0,330.0,-9.0
2010-11-07,Oklahoma City Thunder,Boston Celtics,83,92,-135.0,115.0,-2.5
2010-11-07,Los Angeles Lakers,Portland Trail Blazers,121,96,-350.0,290.0,-7.0
2010-11-08,Charlotte Bobcats,San Antonio Spurs,91,95,155.0,-175.0,4.0
2010-11-08,Orlando Magic,Atlanta Hawks,93,89,-440.0,340.0,-9.0
2010-11-08,Toronto Raptors,Golden State Warriors,102,109,-103.0,-107.0,0.0
2010-11-08,Chicago Bulls,Denver Nuggets,94,92,-130.0,110.0,-2.0
2010-11-08,Memphis Grizzlies,Phoenix Suns,109,99,-200.0,170.0,-5.0
2010-11-08,Dallas Mavericks,Boston Celtics,89,87,-160.0,140.0,-3.5
2010-11-09,Indiana Pacers,Denver Nuggets,144,113,110.0,-130.0,1.5
2010-11-09,New Jersey Nets,Cleveland Cavaliers,91,93,-140.0,120.0,-2.5
2010-11-09,Miami Heat,Utah Jazz,114,116,-600.0,450.0,-9.0
2010-11-09,Milwaukee Bucks,New York Knicks,107,80,-230.0,190.0,-5.5
2010-11-09,New Orleans Hornets,Los Angeles Clippers,101,82,-500.0,400.0,-9.5
2010-11-09,Portland Trail Blazers,Detroit Pistons,100,78,-650.0,475.0,-10.0
2010-11-09,Los Angeles Lakers,Minnesota Timberwolves,99,94,-4437.0,1937.0,-17.5
2010-11-10,Atlanta Hawks,Milwaukee Bucks,91,108,-280.0,240.0,-6.5
2010-11-10,Orlando Magic,Utah Jazz,94,104,-700.0,500.0,-10.5
2010-11-10,Toronto Raptors,Charlotte Bobcats,96,101,-107.0,-103.0,-1.0
2010-11-10,Washington Wizards,Houston Rockets,98,91,145.0,-165.0,3.5
2010-11-10,Cleveland Cavaliers,New Jersey Nets,87,95,-180.0,160.0,-4.0
2010-11-10,New York Knicks,Golden State Warriors,117,122,-155.0,135.0,-3.0
2010-11-10,Memphis Grizzlies,Dallas Mavericks,91,106,-103.0,-107.0,1.0
2010-11-10,Oklahoma City Thunder,Philadelphia 76ers,109,103,-450.0,350.0,-8.5
2010-11-10,San Antonio Spurs,Los Angeles Clippers,107,95,-1800.0,1150.0,-13.5
2010-11-10,Sacramento Kings,Minnesota Timberwolves,89,98,-600.0,450.0,-10.5
2010-11-11,Miami Heat,Boston Celtics,107,112,-320.0,260.0,-7.5
2010-11-11,Chicago Bulls,Golden State Warriors,120,90,-300.0,250.0,-7.0
2010-11-11,Denver Nuggets,Los Angeles Lakers,118,112,140.0,-160.0,3.0
2010-11-12,Atlanta Hawks,Utah Jazz,86,90,-160.0,140.0,-3.5
2010-11-12,Indiana Pacers,Houston Rockets,99,102,-160.0,140.0,-3.5
2010-11-12,Orlando Magic,Toronto Raptors,106,110,-2600.0,1500.0,-14.5
2010-11-12,Washington Wizards,Charlotte Bobcats,85,93,100.0,-110.0,0.0
2010-11-12,Minnesota Timberwolves,New York Knicks,112,103,150.0,-170.0,4.0
2010-11-12,Dallas Mavericks,Philadelphia 76ers,99,90,-500.0,400.0,-8.5
2010-11-12,Phoenix Suns,Sacramento Kings,103,89,-330.0,270.0,-7.5
2010-11-12,Oklahoma City Thunder,Portland Trail Blazers,110,108,-140.0,120.0,-2.5
2010-11-12,Los Angeles Clippers,Detroit Pistons,107,113,-133.0,120.0,-1.5
2010-11-13,Charlotte Bobcats,Utah Jazz,95,96,-102.0,-112.0,1.0
2010-11-13,New Jersey Nets,Orlando Magic,90,91,269.0,-311.0,7.5
2010-11-13,Cleveland Cavaliers,Indiana Pacers,85,99,-120.0,106.0,-1.5
2010-11-13,Miami Heat,Toronto Raptors,109,100,-2180.0,1620.0,-15.0
2010-11-13,Chicago Bulls,Washington Wizards,103,96,-624.0,501.0,-10.5
2010-11-13,Memphis Grizzlies,Boston Celtics,110,116,143.0,-157.0,3.5
2010-11-13,New Orleans Hornets,Portland Trail Blazers,107,87,-181.0,164.0,-4.0
2010-11-13,Milwaukee Bucks,Golden State Warriors,79,72,-302.0,263.0,-7.5
2010-11-13,San Antonio Spurs,Philadelphia 76ers,116,93,-624.0,501.0,-10.0
2010-11-14,Atlanta Hawks,Minnesota Timberwolves,111,105,-600.0,450.0,-10.0
2010-11-14,Sacramento Kings,Detroit Pistons,94,100,-210.0,175.0,-5.0
2010-11-14,Oklahoma City Thunder,San Antonio Spurs,104,117,-145.0,125.0,-2.5
2010-11-14,New York Knicks,Houston Rockets,96,104,-140.0,120.0,-2.5
2010-11-14,Los Angeles Lakers,Phoenix Suns,116,121,-450.0,350.0,-8.5
2010-11-15,Charlotte Bobcats,Minnesota Timberwolves,113,110,-500.0,400.0,-9.0
2010-11-15,Orlando Magic,Memphis Grizzlies,89,72,-500.0,400.0,-9.0
2010-11-15,Dallas Mavericks,New Orleans Hornets,98,95,-160.0,140.0,-3.0
2010-11-15,Phoenix Suns,Denver Nuggets,100,94,-130.0,110.0,-2.0
2010-11-15,Utah Jazz,Oklahoma City Thunder,108,115,-270.0,230.0,-6.0
2010-11-15,Golden State Warriors,Detroit Pistons,101,97,-280.0,240.0,-6.5
2010-11-15,Los Angeles Clippers,New Jersey Nets,96,110,-130.0,110.0,-2.0
2010-11-16,Cleveland Cavaliers,Philadelphia 76ers,101,93,-150.0,130.0,-3.0
2010-11-16,Indiana Pacers,Atlanta Hawks,92,102,110.0,-130.0,2.0
2010-11-16,Washington Wizards,Toronto Raptors,109,94,-103.0,-107.0,1.0
2010-11-16,Memphis Grizzlies,Portland Trail Blazers,99,100,-130.0,110.0,-1.0
2010-11-16,Milwaukee Bucks,Los Angeles Lakers,107,118,170.0,-200.0,4.5
2010-11-16,Houston Rockets,Chicago Bulls,92,95,-113.0,102.0,-0.0
2010-11-16,Denver Nuggets,New York Knicks,120,118,-380.0,310.0,-7.5
2010-11-17,Miami Heat,Phoenix Suns,123,96,-400.0,325.0,-8.0
2010-11-17,Philadelphia 76ers,Toronto Raptors,86,94,-155.0,135.0,-3.0
2010-11-17,Boston Celtics,Washington Wizards,114,83,-1700.0,1050.0,-13.5
2010-11-17,Detroit Pistons,Los Angeles Lakers,90,103,280.0,-340.0,7.5
2010-11-17,Minnesota Timberwolves,Los Angeles Clippers,113,111,-175.0,155.0,-3.5
2010-11-17,New Orleans Hornets,Dallas Mavericks,99,97,-210.0,175.0,-5.0
2010-11-17,Oklahoma City Thunder,Houston Rockets,116,99,-300.0,250.0,-7.0
2010-11-17,Utah Jazz,New Jersey Nets,98,88,-600.0,450.0,-9.5
2010-11-17,San Antonio Spurs,Chicago Bulls,103,94,-320.0,260.0,-6.5
2010-11-17,Sacramento Kings,New York Knicks,106,113,-180.0,160.0,-4.0
2010-11-18,Indiana Pacers,Los Angeles Clippers,107,80,-375.0,305.0,-8.5
2010-11-18,Orlando Magic,Phoenix Suns,105,89,-660.0,480.0,-10.5
2010-11-18,Portland Trail Blazers,Denver Nuggets,86,83,-140.0,120.0,-2.5
2010-11-19,Boston Celtics,Oklahoma City Thunder,84,89,-450.0,350.0,-9.0
2010-11-19,Philadelphia 76ers,Milwaukee Bucks,90,79,165.0,-185.0,4.5
2010-11-19,Toronto Raptors,Houston Rockets,106,96,105.0,-125.0,1.5
2010-11-19,Washington Wizards,Memphis Grizzlies,89,86,140.0,-160.0,3.5
2010-11-19,Miami Heat,Charlotte Bobcats,95,87,-1100.0,700.0,-12.0
2010-11-19,Minnesota Timberwolves,Los Angeles Lakers,95,112,450.0,-550.0,9.0
2010-11-19,New Orleans Hornets,Cleveland Cavaliers,108,101,-500.0,400.0,-9.0
2010-11-19,Utah Jazz,San Antonio Spurs,82,94,-135.0,115.0,-2.0
2010-11-19,Dallas Mavericks,Chicago Bulls,83,88,-210.0,175.0,-5.0
2010-11-19,Sacramento Kings,New Jersey Nets,86,81,-150.0,130.0,-3.0
2010-11-19,Golden State Warriors,New York Knicks,119,125,-175.0,155.0,-4.0
2010-11-20,Charlotte Bobcats,Phoenix Suns,123,105,-140.0,120.0,-2.5
2010-11-20,Indiana Pacers,Orlando Magic,86,90,185.0,-225.0,5.0
2010-11-20,Atlanta Hawks,Dallas Mavericks,93,98,-150.0,130.0,-3.0
2010-11-20,Memphis Grizzlies,Miami Heat,97,95,200.0,-240.0,5.5
2010-11-20,Milwaukee Bucks,Oklahoma City Thunder,81,82,-230.0,190.0,-5.5
2010-11-20,San Antonio Spurs,Cleveland Cavaliers,116,92,-700.0,500.0,-10.0
2010-11-20,Denver Nuggets,New Jersey Nets,107,103,-700.0,500.0,-10.0
2010-11-20,Portland Trail Blazers,Utah Jazz,94,103,-165.0,145.0,-3.5
2010-11-20,Los Angeles Clippers,New York Knicks,115,124,-125.0,105.0,-1.5
2010-11-21,Toronto Raptors,Boston Celtics,102,101,200.0,-240.0,5.5
2010-11-21,Detroit Pistons,Washington Wizards,115,110,-170.0,150.0,-4.0
2010-11-21,Sacramento Kings,New Orleans Hornets,71,75,170.0,-200.0,5.0
2010-11-21,Los Angeles Lakers,Golden State Warriors,117,89,-850.0,625.0,-10.5
2010-11-22,Atlanta Hawks,Boston Celtics,76,99,-150.0,130.0,-2.5
2010-11-22,Miami Heat,Indiana Pacers,77,93,-530.0,405.0,-9.0
2010-11-22,Oklahoma City Thunder,Minnesota Timberwolves,117,107,-550.0,425.0,-9.5
2010-11-22,Houston Rockets,Phoenix Suns,116,123,-130.0,110.0,-2.0
2010-11-22,San Antonio Spurs,Orlando Magic,106,97,-165.0,145.0,-3.5
2010-11-22,Utah Jazz,Sacramento Kings,94,83,-750.0,550.0,-10.5
2010-11-22,Golden State Warriors,Denver Nuggets,89,106,105.0,-125.0,2.0
2010-11-22,Los Angeles Clippers,New Orleans Hornets,99,95,200.0,-240.0,6.0
2010-11-23,Indiana Pacers,Cleveland Cavaliers,100,89,-210.0,175.0,-5.0
2010-11-23,New Jersey Nets,Atlanta Hawks,107,101,135.0,-155.0,3.0
2010-11-23,Washington Wizards,Philadelphia 76ers,116,114,-140.0,120.0,-2.5
2010-11-23,New York Knicks,Charlotte Bobcats,110,107,-150.0,130.0,-3.0
2010-11-23,Dallas Mavericks,Detroit Pistons,88,84,-550.0,425.0,-9.5
2010-11-23,Los Angeles Lakers,Chicago Bulls,98,91,-400.0,325.0,-8.0
2010-11-24,Charlotte Bobcats,New York Knicks,95,99,-240.0,200.0,-5.0
2010-11-24,Cleveland Cavaliers,Milwaukee Bucks,83,81,105.0,-125.0,1.5
2010-11-24,Toronto Raptors,Philadelphia 76ers,106,90,-240.0,200.0,-5.5
2010-11-24,Boston Celtics,New Jersey Nets,89,83,-800.0,600.0,-10.5
2010-11-24,Orlando Magic,Miami Heat,104,95,-180.0,160.0,-4.0
2010-11-24,Memphis Grizzlies,Detroit Pistons,105,84,-280.0,240.0,-6.5
2010-11-24,Minnesota Timberwolves,San Antonio Spurs,109,113,290.0,-350.0,7.5
2010-11-24,Oklahoma City Thunder,Dallas Mavericks,103,111,-180.0,160.0,-4.0
2010-11-24,Houston Rockets,Golden State Warriors,111,101,-240.0,200.0,-5.5
2010-11-24,Phoenix Suns,Chicago Bulls,115,123,-140.0,120.0,-2.5
2010-11-24,Utah Jazz,New Orleans Hornets,105,87,-175.0,155.0,-4.0
2010-11-25,Atlanta Hawks,Washington Wizards,116,96,-320.0,260.0,-7.0
2010-11-25,Los Angeles Clippers,Sacramento Kings,100,82,-140.0,120.0,-2.5
2010-11-26,Charlotte Bobcats,Houston Rockets,99,89,-175.0,155.0,-4.0
2010-11-26,Orlando Magic,Cleveland Cavaliers,111,100,-750.0,550.0,-10.5
2010-11-26,Boston Celtics,Toronto Raptors,110,101,-550.0,425.0,-9.0
2010-11-26,Detroit Pistons,Milwaukee Bucks,103,89,-105.0,-115.0,1.0
2010-11-26,Miami Heat,Philadelphia 76ers,99,90,-800.0,600.0,-11.0
2010-11-26,Indiana Pacers,Oklahoma City Thunder,106,110,-130.0,110.0,-2.0
2010-11-26,San Antonio Spurs,Dallas Mavericks,94,103,-200.0,170.0,-4.5
2010-11-26,Denver Nuggets,Chicago Bulls,98,97,-240.0,200.0,-5.5
2010-11-26,Phoenix Suns,Los Angeles Clippers,116,108,-500.0,400.0,-9.5
2010-11-26,Utah Jazz,Los Angeles Lakers,102,96,-105.0,-115.0,1.0
2010-11-26,Memphis Grizzlies,Golden State Warriors,116,111,-290.0,245.0,-7.0
2010-11-26,Portland Trail Blazers,New Orleans Hornets,78,97,-175.0,155.0,-4.0
2010-11-27,New York Knicks,Atlanta Hawks,90,99,-120.0,100.0,-1.0
2010-11-27,Washington Wizards,Orlando Magic,99,100,240.0,-300.0,7.0
2010-11-27,Cleveland Cavaliers,Memphis Grizzlies,92,86,100.0,-120.0,1.0
2010-11-27,Philadelphia 76ers,New Jersey Nets,102,86,-120.0,100.0,-1.0
2010-11-27,Minnesota Timberwolves,Golden State Warriors,94,104,-135.0,115.0,-2.5
2010-11-27,Dallas Mavericks,Miami Heat,106,95,-130.0,110.0,-2.0
2010-11-27,Milwaukee Bucks,Charlotte Bobcats,104,101,-160.0,135.0,-2.5
2010-11-27,Sacramento Kings,Chicago Bulls,85,96,145.0,-170.0,3.0
2010-11-28,Toronto Raptors,Atlanta Hawks,78,96,100.0,-120.0,1.0
2010-11-28,Detroit Pistons,New York Knicks,116,125,-125.0,105.0,-1.5
2010-11-28,New Orleans Hornets,San Antonio Spurs,95,109,-115.0,-105.0,-0.0
2010-11-28,Los Angeles Clippers,Utah Jazz,97,109,240.0,-300.0,6.5
2010-11-28,New Jersey Nets,Portland Trail Blazers,98,96,175.0,-215.0,4.0
2010-11-28,Houston Rockets,Oklahoma City Thunder,99,98,120.0,-140.0,3.0
2010-11-28,Denver Nuggets,Phoenix Suns,138,133,-200.0,170.0,-5.0
2010-11-28,Los Angeles Lakers,Indiana Pacers,92,95,-670.0,470.0,-8.5
2010-11-29,Miami Heat,Washington Wizards,105,94,-1405.0,805.0,-13.0
2010-11-29,Oklahoma City Thunder,New Orleans Hornets,95,89,-160.0,135.0,-3.5
2010-11-29,Dallas Mavericks,Houston Rockets,101,91,-545.0,420.0,-8.5
2010-11-29,Utah Jazz,Milwaukee Bucks,109,88,-600.0,450.0,-9.5
2010-11-30,Cleveland Cavaliers,Boston Celtics,87,106,270.0,-350.0,7.0
2010-11-30,Orlando Magic,Detroit Pistons,90,79,-875.0,625.0,-11.5
2010-11-30,Philadelphia 76ers,Portland Trail Blazers,88,79,150.0,-180.0,3.0
2010-11-30,New York Knicks,New Jersey Nets,111,100,-200.0,170.0,-4.5
2010-11-30,Memphis Grizzlies,Los Angeles Lakers,98,96,220.0,-270.0,5.5
2010-11-30,Sacramento Kings,Indiana Pacers,98,107,160.0,-190.0,4.0
2010-11-30,Golden State Warriors,San Antonio Spurs,98,118,160.0,-190.0,4.0
2010-12-01,Atlanta Hawks,Memphis Grizzlies,112,109,-230.0,190.0,-5.5
2010-12-01,New Jersey Nets,Oklahoma City Thunder,120,123,190.0,-230.0,5.0
2010-12-01,Toronto Raptors,Washington Wizards,127,108,-200.0,170.0,-4.5
2010-12-01,Boston Celtics,Portland Trail Blazers,99,95,-300.0,250.0,-7.0
2010-12-01,Miami Heat,Detroit Pistons,97,72,-1100.0,750.0,-11.0
2010-12-01,Chicago Bulls,Orlando Magic,78,107,-130.0,110.0,-2.0
2010-12-01,New Orleans Hornets,Charlotte Bobcats,89,73,-400.0,325.0,-8.5
2010-12-01,Dallas Mavericks,Minnesota Timberwolves,100,86,-700.0,500.0,-10.0
2010-12-01,Houston Rockets,Los Angeles Lakers,109,99,210.0,-250.0,5.5
2010-12-01,Denver Nuggets,Milwaukee Bucks,105,94,-450.0,350.0,-8.5
2010-12-01,Utah Jazz,Indiana Pacers,110,88,-380.0,310.0,-7.5
2010-12-01,Los Angeles Clippers,San Antonio Spurs,90,85,260.0,-320.0,7.0
2010-12-02,Cleveland Cavaliers,Miami Heat,90,118,200.0,-240.0,6.0
2010-12-02,Golden State Warriors,Phoenix Suns,101,107,-135.0,115.0,-2.5
2010-12-03,Charlotte Bobcats,New Jersey Nets,91,84,-280.0,240.0,-6.5
2010-12-03,Toronto Raptors,Oklahoma City Thunder,111,99,100.0,-120.0,1.0
2010-12-03,Washington Wizards,Portland Trail Blazers,83,79,155.0,-175.0,4.0
2010-12-03,Atlanta Hawks,Philadelphia 76ers,93,88,-240.0,200.0,-5.5
2010-12-03,Detroit Pistons,Orlando Magic,91,104,155.0,-175.0,4.0
2010-12-03,Boston Celtics,Chicago Bulls,104,92,-225.0,185.0,-5.5
2010-12-03,Memphis Grizzlies,Houston Rockets,111,127,-200.0,170.0,-4.5
2010-12-03,New Orleans Hornets,New York Knicks,92,100,-220.0,180.0,-5.0
2010-12-03,San Antonio Spurs,Minnesota Timberwolves,107,101,-1200.0,800.0,-12.0
2010-12-03,Denver Nuggets,Los Angeles Clippers,109,104,-550.0,425.0,-9.0
2010-12-03,Phoenix Suns,Indiana Pacers,105,97,-120.0,100.0,-1.0
2010-12-03,Utah Jazz,Dallas Mavericks,81,93,-175.0,155.0,-4.0
2010-12-03,Los Angeles Lakers,Sacramento Kings,113,80,-1400.0,900.0,-12.5
2010-12-04,Miami Heat,Atlanta Hawks,89,77,-465.0,365.0,-8.5
2010-12-04,Philadelphia 76ers,Charlotte Bobcats,109,91,-160.0,140.0,-3.5
2010-12-04,Chicago Bulls,Houston Rockets,119,116,-300.0,250.0,-7.0
2010-12-04,Minnesota Timberwolves,Cleveland Cavaliers,129,95,-120.0,100.0,-1.0
2010-12-04,Milwaukee Bucks,Orlando Magic,96,85,-195.0,165.0,-4.5
2010-12-04,Sacramento Kings,Dallas Mavericks,103,105,295.0,-355.0,7.5
2010-12-05,New Jersey Nets,Boston Celtics,75,100,205.0,-245.0,5.5
2010-12-05,Toronto Raptors,New York Knicks,99,116,-130.0,110.0,-2.0
2010-12-05,Detroit Pistons,Cleveland Cavaliers,102,92,-200.0,170.0,-4.5
2010-12-05,Oklahoma City Thunder,Golden State Warriors,114,109,-300.0,250.0,-7.0
2010-12-05,San Antonio Spurs,New Orleans Hornets,109,84,-290.0,245.0,-6.5
2010-12-05,Denver Nuggets,Memphis Grizzlies,108,107,-275.0,235.0,-6.5
2010-12-05,Phoenix Suns,Washington Wizards,125,108,-375.0,305.0,-8.0
2010-12-05,Portland Trail Blazers,Los Angeles Clippers,100,91,-290.0,245.0,-7.0
2010-12-06,Indiana Pacers,Toronto Raptors,124,100,-330.0,270.0,-8.0
2010-12-06,Orlando Magic,Atlanta Hawks,74,80,-280.0,240.0,-7.0
2010-12-06,New York Knicks,Minnesota Timberwolves,121,114,-300.0,250.0,-6.5
2010-12-06,Chicago Bulls,Oklahoma City Thunder,99,90,-200.0,170.0,-4.5
2010-12-06,Milwaukee Bucks,Miami Heat,78,88,190.0,-230.0,5.0
2010-12-06,Utah Jazz,Memphis Grizzlies,94,85,-600.0,450.0,-10.0
2010-12-06,Los Angeles Clippers,Sacramento Kings,98,91,-210.0,175.0,-5.0
2010-12-07,Atlanta Hawks,New Jersey Nets,116,101,-270.0,230.0,-6.0
2010-12-07,Charlotte Bobcats,Denver Nuggets,100,98,105.0,-125.0,1.5
2010-12-07,Philadelphia 76ers,Cleveland Cavaliers,117,97,-300.0,250.0,-7.0
2010-12-07,Dallas Mavericks,Golden State Warriors,105,100,-450.0,350.0,-8.5
2010-12-07,Houston Rockets,Detroit Pistons,97,83,-300.0,250.0,-7.0
2010-12-07,Portland Trail Blazers,Phoenix Suns,106,99,-145.0,125.0,-2.5
2010-12-07,Los Angeles Lakers,Washington Wizards,115,108,-2200.0,1250.0,-13.5
2010-12-08,Boston Celtics,Denver Nuggets,105,89,-450.0,350.0,-9.0
